gameId,gameType,gameMode,opponentId,isWinner,score,opponentScore,ratingChange,timestamp,duration
69f00eda52ffd448dbf7944b,CROSS_MATH_PUZZLE,ONLINE_SEARCH,698b272813b513a7614104e0,True,7,6,5,2026-04-28T01:37:27.06Z,120
69f00e4c52ffd448dbf79235,CROSS_MATH_PUZZLE,ONLINE_SEARCH,699ec8624f2f9171ed5feae9,True,7,5,9,2026-04-28T01:35:05.367Z,120
69f00dbe52ffd448dbf790a3,CROSS_MATH_PUZZLE,ONLINE_SEARCH,6965efa2d3411e53db0357a3,False,4,6,-10,2026-04-28T01:32:43.215Z,120
69f00d2e52ffd448dbf78f5a,CROSS_MATH_PUZZLE,ONLINE_SEARCH,69a881fa42e5056990fc9dcf,True,5,5,1,2026-04-28T01:30:19.58Z,120
69f00c9f52ffd448dbf78ddd,CROSS_MATH_PUZZLE,ONLINE_SEARCH,69c548538670ae1556ff387c,False,5,5,-1,2026-04-28T01:27:56.529Z,120
69f00c0752ffd448dbf78bcf,CROSS_MATH_PUZZLE,ONLINE_SEARCH,696fcfb35c7f8fea810da989,True,5,5,1,2026-04-28T01:25:24.742Z,120
69f00b5352ffd448dbf78a22,CROSS_MATH_PUZZLE,ONLINE_SEARCH,6999ced5740be46a87979281,True,7,5,10,2026-04-28T01:22:24.938Z,120
69f00ac552ffd448dbf78861,CROSS_MATH_PUZZLE,ONLINE_SEARCH,691e48baf3ce36375b09473f,True,5,5,1,2026-04-28T01:20:02.885Z,120
69f00a3752ffd448dbf7871f,CROSS_MATH_PUZZLE,ONLINE_SEARCH,69ba2719de3254ce9e187022,False,5,5,-1,2026-04-28T01:17:40.701Z,120
69f009a552ffd448dbf785c1,CROSS_MATH_PUZZLE,ONLINE_SEARCH,68fcbfbb47d30a7f75249867,False,4,5,-8,2026-04-28T01:15:14.201Z,120
69f008f052ffd448dbf78392,CROSS_MATH_PUZZLE,ONLINE_SEARCH,69b99af5f07a78f717c09a00,True,6,5,6,2026-04-28T01:12:13.857Z,120
69f0085252ffd448dbf781c1,CROSS_MATH_PUZZLE,ONLINE_SEARCH,69358cbda3957ac5be9f9ad0,False,5,5,-1,2026-04-28T01:09:35.309Z,120
69eef96e8c1c13a907169401,MIND_SNAP,ONLINE_SEARCH,683273a6a99a617ffe6dd7f2,False,10,12,-5,2026-04-27T05:52:47.766Z,60
69eef91c8c1c13a907168973,MIND_SNAP,ONLINE_SEARCH,69a98963cec7255a64520e55,False,10,13,-5,2026-04-27T05:51:25.049Z,60
69eef8c18c1c13a907167ca2,MIND_SNAP,ONLINE_SEARCH,69a8877142e5056990fd0117,False,10,13,-5,2026-04-27T05:49:54.574Z,60
69edb65e6892d9921de6107b,DMAS,ONLINE_SEARCH,69dbc8924725cb5fead62e13,True,11,10,1,2026-04-26T06:54:23.784Z,60
69edb6138c1c13a907ed7b4f,DMAS,ONLINE_SEARCH,69b54bfe99910d24c8ff070e,True,15,14,3,2026-04-26T06:53:08.411Z,60
69edb5b28c1c13a907ed66f6,MIND_SNAP,ONLINE_SEARCH,69662da0d3411e53db05d95b,True,10,13,1,2026-04-26T06:51:31.613Z,60
69edb5606892d9921de60626,MIND_SNAP,ONLINE_SEARCH,69a8965042e5056990fdbe5d,False,10,11,-7,2026-04-26T06:50:09.591Z,60
69edb50f8c1c13a907ed434a,MIND_SNAP,ONLINE_SEARCH,690d908e5022f201bf507ad7,False,10,13,-5,2026-04-26T06:48:48.016Z,60
69edb4bd8c1c13a907ed3173,MIND_SNAP,ONLINE_SEARCH,69b00fabf699d5c3df96bf08,True,10,12,6,2026-04-26T06:47:26.266Z,60
69edb46a8c1c13a907ed2120,MIND_SNAP,ONLINE_SEARCH,69cbba68731407ca5dfc29ed,True,10,13,6,2026-04-26T06:46:03.914Z,60
69edb41f8c1c13a907ed124b,MIND_SNAP,ONLINE_SEARCH,69cbba68731407ca5dfc29ed,False,10,13,-5,2026-04-26T06:44:48.861Z,60
69edb3c68c1c13a907ecfded,MIND_SNAP,ONLINE_SEARCH,6825eed0491b67d71bafb9b7,True,11,13,6,2026-04-26T06:43:19.594Z,60
69edb3608c1c13a907ece61f,MIND_SNAP,ONLINE_SEARCH,68321429a99a617ffe6d9e35,True,11,13,6,2026-04-26T06:41:37.602Z,60
69ec4a8f66d711a03b15eef7,MIND_SNAP,ONLINE_SEARCH,6990c0e8683a5002c4a1f3bc,False,9,13,-6,2026-04-25T05:02:08.137Z,60
69eadc87a9753cd4aaf10b15,MIND_SNAP,ONLINE_SEARCH,68e8c5a53a80f175b8fe7944,False,4,13,-11,2026-04-24T03:00:24.277Z,60
69eadc254e2f111b9dacc26f,MIND_SNAP,ONLINE_CHALLENGE,69dca563c32b797a2a43a52c,True,13,13,1,2026-04-24T02:58:53.24Z,60
69eadbdca9753cd4aaf108ea,DMAS,ONLINE_SEARCH,69aa7283a29cc2c01202bd41,True,14,10,5,2026-04-24T02:57:33.579Z,60
69ead616a9753cd4aaf0f3e4,DMAS,ONLINE_SEARCH,69b16d26a5fb9451f9ee6d5b,True,18,16,4,2026-04-24T02:32:55.594Z,60
69ead5cca9753cd4aaf0f2e5,DMAS,ONLINE_SEARCH,69b16d26a5fb9451f9ee6d5b,False,14,14,-1,2026-04-24T02:31:41.127Z,60
69ead578a9753cd4aaf0f1f1,DMAS,ONLINE_SEARCH,69cb3cb1731407ca5de3a758,True,18,14,5,2026-04-24T02:30:17.341Z,60
69ead525a9753cd4aaf0f107,DMAS,ONLINE_SEARCH,69b40dbece6ab8c04c76fc35,True,16,15,3,2026-04-24T02:28:54.583Z,60
69e97028f5c082bbcf7a19a1,CROSS_MATH_PUZZLE,ONLINE_SEARCH,68bf2c9e49c5492f09b017f0,True,7,5,9,2026-04-23T01:06:45.424Z,120
